message,sentiment
LA ka assignment send kro,Neutral
Aa to chhe,Neutral
Pdf nahi hai,Negative
us bhi us,Neutral
it is authorised way to change the password of file in linex without pshodo,Neutral
upload karta hu abhi,Neutral
did you solved the hostel matter.,Neutral
tss no confirmation aavigyu chhe,Negative
call me when your awake,Neutral
Kala java no ?,Negative
college ayega naa kal,Neutral
Aur you sure,Neutral
and set up the python properly,Neutral
Tara attendance aaive?,Neutral
Ho kya rha hai ye batayega,Neutral
Bhej na Bhai,Neutral
are me dhar aa gaya hu,Neutral
up down karta hu morbi se 1.5 semester se,Neutral
File page pe likhna hai copy me assignment,Neutral
Api ne satha 3 name nai kha k 1,Neutral
hai sa to latp aavis,Neutral
call you back,Neutral
we finallise the softwere project as voice assistant there will another meeting after lunch brack. by stay tuned,Negative
it looks real,Positive
when you identify them then forward them.,Neutral
It's an open book exam,Positive
Tujhe koi msg aaya kya TSS k related,Neutral
how's your exam's,Neutral
Prectical 3 kia h cn ka,Neutral
Aa badhay⬆️ ass.2 na che,Negative
Ohk but here they mentioned lab file with solutions,Neutral
Humne toh Tic Tac Toe Project banaya tha,Neutral
I've given the report file for it,Neutral
With different phase,Neutral
Tu rajkot ma cho?,Neutral
website par pura discretion ni hai,Neutral
sir will accept it,Neutral
teri kuchh family yaha rahti hai aur kuchh waha,Neutral
jaldi 3rd floor lab12,Neutral
I don't know anything about farming 😅,Negative
He keeps having mood swings,Neutral
did you prepare for tomorrow's exam,Neutral
there are many ppts and things so i am making zip of all and give you in telegram <This message was edited>,Neutral
I think your Laila is not replying you,Negative
Hn check kia maine,Neutral
mene nahi Kiya hai,Negative
Kayu laptop tha,Neutral
ml na 4th hoy to mokal ne,Positive
Wt 20th January ko hai,Neutral
3 din mein Project submit karna hai,Neutral
E store Rajkot ma pan cha,Neutral
What kind of mini projects are students doing,Neutral
To mokal j,Positive
hardik ka hai,Neutral
Circulate kar dena😆😂,Positive
bus me. hu,Neutral
It's not connecting,Negative
I think it's Web Development program,Neutral
Massage kairo ?,Neutral
Will you please help me in searching ? 🥹,Neutral
shore as hell,Neutral
"20 , 20",Neutral
Ka sir na madi na vat kar,Neutral
You did nothing wrong,Negative
And my apologies for not responding earlier.,Negative
Shl report aaivu Tara su aaivu,Neutral
or coa ki open book exam thi,Positive
that's what I was thinking,Neutral
Sir a j send karu e tha tari pasa beee,Neutral
43 maa pade chhe GST not included,Negative
this is what we are building 🏫,Neutral
Mujhe padha dena aake 1 ghanta thoda aur clear ho jayega,Neutral
Ma tana call kairo hato tyara 3 space hati,Neutral
Ma aaipe tha,Neutral
nahi Kam kar raha yyee,Negative
or everything is fine there,Neutral
coa ka to mene pehle hi send kar diya tha shayad,Neutral
Kon ruhi bro,Neutral
me dhar par hi hu morbi,Neutral
or web application,Neutral
Happy Diwali 🎇 bro,Neutral
you turned me on now,Negative
puto code chee aama,Neutral
check the telegram,Neutral
Kai nai e to chala,Neutral
One day everything will be solved,Neutral
And let's keep it as a secret that I have to give remedial for 5th semester subjects,Neutral
Usko kia hai koi aur ko puchh na,Neutral
ip 10 to 12 hoy to send kar ne,Neutral
ip practical 2 na code chhe ane kale su dead line chhe 2nd mate,Neutral
Call to utha,Neutral
aa limited web series chhe,Neutral
5 baje project ke liye,Neutral
Tara koi mail aaivo a group ma j message Kara cha aavo ?,Neutral
bol suu Kam chhe,Neutral
vivek ka hai,Neutral
To bataya karo,Neutral
Mana experiment 2 no code mokal j ds,Positive
i will ask tomorrow,Neutral
idk how 🥳,Neutral
me uspe Kam kar rahai,Neutral
vivek se mangta hu ubantu ni hai,Neutral
Bhai tere tarf 🌹 rose mile  to ek lete aana n,Neutral
for conversation that I would not prefer with people usually,Negative
I'm the last moment if any team will be unable to join they will call aur team,Neutral
Hua bhejo na,Neutral
A pan kadhavyo aav j,Neutral
sorry tedi call back no karo mu kame haro,Negative
nahi aaya sorry aabhi utha hu,Negative
12 na screenshot mokal ...,Positive
It was good,Positive
Okey thanks 😌,Positive
70 marks kaa imp bhejta hu aabhi,Neutral
Yes but full copied nhi hona chahiye,Neutral
sirf usme mera nam dal k ek bana skta hai,Neutral
likha hi nhi,Neutral
ok hamda karu,Positive
Ye nhi cn ka practical 2 bhejo na,Neutral
To kaha pahucha,Neutral
And you can explain me certain topics ,Neutral
@thanksfaceprepXlinkedin @Diksha Rahangdale,Positive
if you wanna talk,Neutral
I will be back in March,Neutral
ye nahi hai hamara par hardik ke pas hai iska output,Negative
Yeah I guess so,Neutral
Is it the whole project ?,Neutral
go in result section,Neutral
You need imps ?,Neutral
yaa 10 to 4,Neutral
Ha e a kidhu hatu,Neutral
Called my parents in front of me,Neutral
abhi tu ja soja,Neutral
Kitna der me pahuch jayega,Neutral
photo mokal j,Positive
ill send you the the gui interface in min,Neutral
compete thay gau pan aavtu nathi relod par dobble tik,Neutral
How to find it on Github ?,Neutral
ja rha hai,Neutral
Kon sa game,Neutral
mene imp padha hu itna bas ek bar,Neutral
kuch ni kiya hai,Neutral
Thank you 🥹,Neutral
great let's start working,Positive
Tu aaya tha,Neutral
Nhi Google classroom se Lena hai,Neutral
Ml ka pratical 1 2 and CD ka bhi bhej do na Bhai dekh k edit kar bana lunga,Neutral
Nahi pahucha kya Ghar abhi,Negative
Mera vlog Story ya status mein lagake thoda promotion kardo 😅,Neutral
But when I see ppts I'll remember 👍🏻,Positive
"8, 6, 11 and 12",Neutral
There are no numericals for other subjects?,Negative
As if he is on periods😂,Positive
Don't give me stress 😬😬 to play with you,Neutral
CD -2 UNIT,Neutral
Answer bhej na sabka,Neutral
Or is it the whole project ? 😁,Neutral
Code mokal j,Positive
Bhai wo gulab leke aaya ki nhi,Neutral
"Thanks , means a lot to me 😇",Positive
but I am back now with more clarity..,Negative
a su chhe badhu,Negative
Story like yours bro !!!,Neutral
kale hard copy Leto aavje ,Neutral
database me error aa raha hai,Neutral
Ya kal h submission,Neutral
Sirf dekhna hai kaise bana hai,Neutral
ni karaya hai,Neutral
"Hope all your exams went well ,",Neutral
If I find any difficulties,Neutral
vo vs code ca server band ho gya goga,Neutral
all subjects backlog dikhayge kya,Neutral
Call kia tha bol na mere me recharge nhi hai,Neutral
Code block ma j try Karu,Neutral
zip file ni aa rahi hia,Neutral
Thank you so much,Neutral
aa video download nathi thayo,Neutral
Just submission hai,Neutral
will copy for the video 📷,Neutral
watesp pe call kar,Neutral
To aav va no tho na,Negative
code chat gpt maa thi levano chhe ne,Negative
usko regenerate kar lee nahi jite par positive way me chat gpt se..,Negative
oli web series joi monsters the lyel and Eric menadaze,Neutral
Morbi pujara Store,Neutral
your home? .,Neutral
yeah mai 13 ko hi ghar nikalne walaa hu to is week regular janana hai attendance is very less,Neutral
Secret between us 😅🤞🏻,Neutral
Hai ya nhi,Neutral
mene nu Kiya hai,Neutral
Hoy to mokal,Positive
Cha group ?,Neutral
full stack chat application with with ui and backend python and database support for multiple users...,Neutral
Mere me khul nhi rha hai,Neutral
"I am at home , I only have access to books",Positive
Tum gya tha n,Neutral
java or coa to department level the to unki final exam ni hui,Neutral
like y what when who what for,Neutral
today is thoka,Positive
aa raha huu,Neutral
Holliday for me,Neutral
you run it in wrong way,Neutral
squid game jovano chhu mu,Negative
Yaa bro I am pro..,Neutral
Mare sniper nathi aavti kardva mate,Neutral
Jb bahar aana to call karna 2 min k liye,Neutral
bas ni mili or mili vo panchar ho gayi..,Neutral
Ka black and white kara to aav,Neutral
all' give you all subjects material zip in telegram.,Neutral
Bro but it it's for online mode,Neutral
Yeah cause I woke up early in the morning  that's why,Positive
Katal marks aavya,Neutral
Oh I see,Neutral
"Yeah, we understand but we are also having issues because we cannot remove our selected team and you get into that! So just share your team name and number, so if at the last moment some teams might not come we can replace your team!! But this would when we call you and after that you can come to our Hackathon. I hope it clears. THank you",Negative
But itna simple bhi nhi chahiye,Neutral
Anu su karu,Neutral
nahi online karis,Negative
me college ni aaya tha bukhar hai,Neutral
ye kya hai,Neutral
Ml padh lia,Neutral
in last sem mine was 63 and she didn't did anything,Neutral
this is backed code logic which calculate bmi,Neutral
to sikhte sikhte bana diya,Neutral
I am sorry I've gone off for little...,Negative
mu eej puch sno hato,Negative
Send experiment se 9-12,Neutral
Some people on yesterday section,Neutral
de to 🪔,Neutral
Badhai aav tha hoi to aavu,Negative
ab me chal raha hiu,Neutral
This assignment is needed to be written in book or file pages ?,Positive
class ki yar aapne vo poni vali,Neutral
I am totally agree with this line,Neutral
abhi send karta hu dadu ke watsapp se .,Neutral
But we have to type entire code,Neutral
to wahi rahti hai,Neutral
Distance between pixel hai kya ye topic apne me,Neutral
Bro industrial visit k liye paise de diye,Neutral
kisi pe bhi,Neutral
He is my mentor too😭,Neutral
iot had prectical file and RE had report.,Neutral
bhi vo aapne hackthon vali python ka working project send kar naa,Neutral
I am 1m late,Neutral
aata hu 15 min me,Neutral
**Prafulla [Last Name]**,Neutral
bhejta hu thodi der me ..,Neutral
ip ni file Friday submit kariye to hale,Neutral
Laptop ma chala tha,Neutral
oo let me find some. material.,Neutral
Is it included in Fifth sem zip file you sent in telegram,Neutral
Call failed aa rha hai,Neutral
you want previous year q paper of this subjects..,Neutral
do one thing take my mu login because its lot of ppts when you need anything just download it,Neutral
But remedial Dene hai,Neutral
dasera he Aaj hamare,Neutral
To ppt nu aaja got su,Neutral
will deside tomorrow I'll give you brief about it text me whenever you are free.,Neutral
8 KE PHOTO MILE TO SEND KAR,Neutral
kuch ni college ka puch raha tha aayenga yaa nahi,Negative
But abhi tak Maine start nhi kiya,Neutral
no I thought you are,Negative
telegram pe send kar,Neutral
Or do any work related to it,Neutral
cd ka take home exam do naa,Neutral
Complete 1-100 Syllabus,Neutral
although I am not woman,Negative
hmmm I will call you.. will think,Neutral
In your first year,Neutral
shit bank maa hato,Neutral
because it's 31,Neutral
Think again because we have to do everything in  10 hours,Neutral
Yes yes.  This on 28th,Neutral
Hua ki nhi abhi TK,Neutral
pip install flask,Neutral
ai gpt is not working,Negative
I don't wanna live with hope hope is another beginning of shit about to happen <This message was edited>,Negative
nii par gui hai to usme backend baki hai,Neutral
my dad is calling me I have to go,Neutral
what Is online mode,Neutral
like with database,Neutral
Sagar na kidhu cha mokli da sa,Positive
"fine 😊, it feels like I am traveling..",Positive
did you get it,Neutral
Su chala cha ?,Neutral
Hu nathi team leader,Neutral
Currently my backlog are 0,Neutral
5 hua hai,Neutral
mu to Mandy Thi vichar Karu chhu javanu,Neutral
haa hamda 5 episode jovu su,Neutral
Khel k kar,Neutral
Here is called psruwa,Neutral
accuracy ni hai,Neutral
3 no question answer dekh,Negative
Bhai practicals hua cn wala,Neutral
me after 1.5 months in tss,Neutral
I've been busy with traveling,Neutral
hackthon no offcial mail aaviyo,Negative
Kaala aav va no ?,Negative
Lab 12 ma aavi ja,Neutral
we kill ourselves because we wanna live with them,Neutral
haa bhai Etna hi lagta hai,Neutral
Sorry my dear student,Negative
flask is there in your pc,Neutral
Kuchh bhi nhi,Neutral
Cn ka practical 4 h,Neutral
Cn practical 2 send kar na,Neutral
sorry halse hal javade n,Negative
ok dinner ke bad kam chalu karete hai,Positive
I have bus on 28th Morning <This message was edited>,Neutral
ok to uspe kuch puchega ni kese bananya hai or anything like that,Positive
ragister ni kiya tha meet up kaa,Neutral
but this one is waterfall like step by step,Neutral
hp victos rtx 3050 rayson,Neutral
Team leader na j aav to hasa e mail,Neutral
Bhai practical 8 9 kaise banega wt ka,Neutral
Jab bhi free ho rha hai call kar mujhe,Neutral
We have exams from 10th March right ?,Neutral
No. Not tomorrow ,Negative
Jo log bol nhi skte h unke liye apna  hand movements ka use kar skte hai by using ml and image processing,Neutral
Zip me ya direct,Neutral
tomorrow is nava sal for Gujarat,Neutral
Subh dipavali ✨,Neutral
I don't know🥲,Negative
"kay bhanva nu mud nathi thatu , kale call karis muu",Neutral
Abhi padh rha hai aur ye bana bhi dia,Neutral
Pac bheja nhi hai,Neutral
Mera bhi enter kar Dena jb dalna to batana,Neutral
meeting me aajana,Neutral
subject choose kariyo <This message was edited>,Neutral
"""don't kill me you are the only reason I am living """,Neutral
git clone https://github.com/codewithsadee/booken.git,Positive
I can do the installation after I eat😅,Neutral
vivek aav jaldi,Neutral
so let's fail in it,Neutral
Tu aav va no cho ?,Negative
Game ne id,Neutral
How are you?,Neutral
Kai nathi kam,Neutral
But should not be too complicated,Negative
in this all works are done parallel,Neutral
vo log type kar sakte hai,Neutral
file ka name badal k kya hoga,Negative
Maru form bhari dais,Neutral
Call kar na,Neutral
Look at this... 👀 https://pin.it/5XICUGQ,Positive
Agr koi meeting k liye class me bole to mujhe inform karna,Neutral
exam hamda nai thi,Neutral
ye lo submit kar do,Neutral
Finally itis running with api 👌 👍👍👍👍,Positive
6 number kaise banaya,Neutral
12 practical send kar ne,Neutral
Bapor pachi jais,Neutral
Waise last winner ka project kya tha,Neutral
me absent thaa friday ko,Neutral
than I go to bed,Neutral
LA  ka practical 2and 3,Neutral
To search Karu ubhore,Neutral
Abhi cahiye kya,Neutral
haa aavo chho pan pachho jais,Neutral
Mera ni huaa,Neutral
"Okey but when I searched this concept on yt , all of them made different diagram",Positive
Data set kon sa lena hai,Neutral
Aa badhay⬆️ ass.4 na che,Negative
Same for ML,Neutral
that's why I didn't come to college today,Neutral
2 ghante phle,Neutral
are you gonna manufacture it ..,Neutral
4th ka bhi,Neutral
Happy to hear😊,Positive
Tu free hua ki nhi abhi,Neutral
A princess singled A death note for saviour of her own life,Negative
Work kare ya na kare matter nhi karta,Neutral
Aama library error aava tha,Neutral
Pov:  you are again in god's strongest people's list,Neutral
it's kinda too formal 😅,Neutral
jugad kata hu yafir Vivek ko text kaar,Neutral
Class kyu nhi aaya,Neutral
or kya set up karna padega,Neutral
Mai hr time available hu bhai,Neutral
ye banane ki try karo,Neutral
ni yahi he par Khali exam dene jana hai to me jaunga sath mee,Neutral
Kaha h bro,Neutral
I already registered,Neutral
naa kale bank maa javani chhu check leva,Neutral
Aaj ka hai bhi nhi ye,Neutral
